,jd,mag,mag_unc,filter,limmag,programid,magzpsci,magzpsciunc
1,2459422.818,18.73139954,0.092235997,i,,2,25.62639999,1.30E-06
2,2459422.818,18.7313633,0.092236087,i,,2,25.62636375,1.30E-06
3,2459423.716,18.67378044,0.085748442,g,,1,26.20778084,6.17E-06
4,2459423.716,18.67379951,0.085748002,g,,1,26.20779991,6.17E-06
5,2459425.695,19.11349297,0.126216918,r,,1,26.24549294,2.55E-06
6,2459425.695,19.1135006,0.126216993,r,,1,26.24550056,2.55E-06
7,2459425.695,19.1135006,0.126216993,r,,1,26.24550056,2.55E-06
8,2459425.728,19.27882385,0.134361163,g,,1,26.19482422,6.21E-06
9,2459425.728,19.27879906,0.134360999,g,,1,26.19479942,6.21E-06
10,2459425.728,19.27879906,0.134360999,g,,1,26.19479942,6.21E-06
11,2459425.775,19.46240044,0.170251995,i,,2,25.36039925,1.21E-05
12,2459425.775,19.46240234,0.170251846,i,,2,25.36040115,1.21E-05
13,2459426.72,19.93250084,0.178471997,g,,3,26.10050011,5.98E-06
14,2459426.72,19.93253136,0.178472057,g,,3,26.10053062,5.98E-06
15,2459427.694,19.69020081,0.13741,r,,1,26.2451992,3.11E-06
16,2459427.694,19.69015884,0.137410149,r,,1,26.24515915,3.11E-06
17,2459427.694,19.69020081,0.13741,r,,1,26.2451992,3.11E-06
18,2459427.733,19.78036308,0.16007036,g,,1,26.22136307,5.70E-06
19,2459427.733,19.78039932,0.160070002,g,,1,26.22139931,5.70E-06
20,2459429.755,20.17619514,0.174937621,g,,1,26.21919441,5.07E-06
21,2459429.755,20.17620087,0.174937993,g,,1,26.21920013,5.07E-06
22,2459434.714,19.54163933,0.127432331,g,,1,26.24463844,5.13E-06
23,2459434.714,19.54159927,0.127432004,g,,1,26.2446003,5.13E-06
24,2459435.677,19.35219955,0.131027997,i,,2,25.66220093,1.88E-06
25,2459435.677,19.35221672,0.131028131,i,,2,25.66221619,1.88E-06
26,2459436.714,19.03034782,0.109503098,r,,1,26.19034767,2.90E-06
27,2459436.714,19.03030014,0.109503001,r,,1,26.19029999,2.90E-06
28,2459436.714,19.03030014,0.109503001,r,,1,26.19029999,2.90E-06
29,2459436.736,19.17609978,0.119600996,g,,1,26.11310005,5.36E-06
30,2459436.736,19.17606544,0.119601339,g,,1,26.11306572,5.36E-06
31,2459439.677,19.18048096,0.13766098,g,,1,26.00448036,7.24E-06
32,2459439.677,19.18050003,0.137660995,g,,1,26.00449944,7.24E-06
33,2459441.673,18.56010056,0.066714004,r,,1,26.0230999,9.51E-06
34,2459441.673,18.56010056,0.066714004,r,,1,26.0230999,9.51E-06
35,2459441.673,18.56005859,0.066713952,r,,1,26.02305984,9.51E-06
36,2459441.745,18.96816063,0.121095307,g,,1,26.01515961,2.17E-05
37,2459441.745,18.96820068,0.121095002,g,,1,26.01519966,2.17E-05
38,2459443.693,19.05844116,0.207407713,g,,1,25.9134407,1.47E-05
39,2459443.693,19.0583992,0.207407996,g,,1,25.91340065,1.47E-05
40,2459443.693,19.0583992,0.207407996,g,,1,25.91340065,1.47E-05
41,2459443.763,18.68600082,0.145976007,r,,1,25.90999985,7.15E-06
42,2459443.763,18.68601418,0.14597556,r,,1,25.9100132,7.15E-06
