,startDate,stopDate,cand,day,dayPath,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor
0,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abdequz,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdequz_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdequz_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdequz_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdequz_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdequz/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdequz/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdequz/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdequz/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdequz/Bu2019lm_result.json'
 'nan'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdequz/TrPi2018_result.json'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdequz/nugent-hyper_result.json']",[ True False  True  True],[1670.035382         nan 2386.288584 2567.381576],['pymultinest' 'nan' 'pymultinest' 'pymultinest'],[-2.03699387         nan -6.1309379  -4.49902692],[0.03768731        nan 0.13602944 0.06849192],[ 0. nan  0.  0.],[-2.03699387         nan -6.1309379  -4.49902692]
1,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abdhqle,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdhqle_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdhqle_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdhqle_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdhqle_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdhqle/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdhqle/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdhqle/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdhqle/']",[nan nan nan nan],[False False False False],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan]
2,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abdpqpq,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdpqpq_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdpqpq_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdpqpq_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdpqpq_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/Bu2019lm_result.json'
 'nan'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/TrPi2018_result.json'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/nugent-hyper_result.json']",[ True False  True  True],[2179.980948         nan 6052.009464 3487.377818],['pymultinest' 'nan' 'pymultinest' 'pymultinest'],[ -5.67281297          nan -10.89339835 -10.74066007],[0.04972723        nan 0.15146472 0.08482706],[ 0. nan  0.  0.],[ -5.67281297          nan -10.89339835 -10.74066007]
3,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abfegkl,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/']",[nan nan nan nan],[False False False False],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan]
4,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abfktlf,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/']",[nan nan nan nan],[False False False False],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan]
5,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abfmpwn,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/Bu2019lm_result.json'
 'nan'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/TrPi2018_result.json'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/nugent-hyper_result.json']",[ True False  True  True],[4247.44388          nan 5523.779476 5119.421308],['pymultinest' 'nan' 'pymultinest' 'pymultinest'],[-10.36034927          nan -12.60022964 -12.49059811],[0.06799148        nan 0.16160983 0.11362249],[ 0. nan  0.  0.],[-10.36034927          nan -12.60022964 -12.49059811]
6,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abgcgyq,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/']",[nan nan nan nan],[False False False False],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan]
7,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abgswcp,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/']",[nan nan nan nan],[False False False False],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan]
8,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abgytxd,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/']",[nan nan nan nan],[False False False False],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan]
9,2021-05-31 12:00:00,2021-06-22 12:00:00,ZTF21abhjssj,['2459366-2459388' '2459366-2459388' '2459366-2459388' '2459366-2459388'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/']","['/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv']",['Bu2019lm' 'Piro2021' 'TrPi2018' 'nugent-hyper'],"['/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/'
 '/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/']",[nan nan nan nan],[False False False False],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan]
